Text,Label
"LICENSE No: L12345678 Expires: 06/15/2025 Name: Emily Smith Address: 1234 Park St, Austin, TX 73301 Sex: F Height: 5-7 Wt: 135 Eyes: Green Date of Birth: 11/11/1990",license
"INVOICE Invoice # 2156 Date of Issue: 09/15/2024 Due Date: 09/30/2024 Description: SEO Optimization, QTY: 10, Unit Price: $50 Subtotal: $500 Tax: $50 Total: $550 Payment: Bank No: 123-987-6543",invoice
Bank Statement Bank of Sample Customer Support: 1-800-555-6789 www.fakebankdomain3.com Account Holder: Lucas King Account Number: XXXX-XXXX-XXXX-6789 Statement Period: 2023-08 Date Description Debit ($) Credit ($) 03/08/2023 ATM Withdrawal 190.00 07/08/2023 Direct Deposit 750.00 10/08/2023 Check Deposit 500.00 Bank 8 - Confidential Statement | Page 1,bank statement
Invoice number 12345 from ACME Inc. for services rendered. Total amount due: $1000. Payment is due within 30 days.,invoice
"Bank statement for account 987654321. Current balance: $2500. Recent transactions: $200 withdrawal, $500 deposit.",bank statement
Invoice number 67890 from XYZ Corp. for website development. Total due: $1200. Payment is due in 45 days.,invoice
"Bank statement for account 123456789. Current balance: $1500. Recent transactions: $100 withdrawal, $300 deposit.",bank statement
"Invoice number 23456 from WebDesign Studios. Services rendered: website design, SEO. Amount: $850 due within 30 days.",invoice
"Bank statement for account 543210987. Current balance: $3000. Recent transactions: $500 withdrawal, $1000 deposit.",bank statement
"Bank statement for account 987654321. Current balance: $4500. Recent transactions: $250 withdrawal, $1000 deposit.",bank statement
Invoice #76543 from ABC Software Solutions. Payment due: $1500. Services: software development and maintenance.,invoice
"Bank statement for account 555555555. Current balance: $1200. Transactions: $50 ATM withdrawal, $500 deposit.",bank statement
Invoice #98765 from TechGuru Inc. for website redesign. Total due: $900. Payment due in 30 days.,invoice
Bank statement for account 654321987. Current balance: $2000. Transactions include $1000 deposit and $250 withdrawal.,bank statement
Invoice #11234 from Creative Solutions. Total due: $3000 for project management and consulting services.,invoice
"Bank statement for account 777777777. Current balance: $4000. Recent transactions: $200 withdrawal, $1000 deposit.",bank statement
Invoice number 55667 from Digital Services. Due amount: $1300 for digital marketing services.,invoice
Bank statement for account 999888777. Current balance: $8000. Recent transactions include deposits and withdrawals.,bank statement
License number OPQ345 for project management tool. Expires on 2027-08-21.,license
Invoice number 67899 from XYZ Enterprises. Services rendered: marketing consultation. Total due: $500.,invoice
Bank statement for account 123987654. Current balance: $2500. Transactions include a withdrawal of $200.,bank statement
Invoice number 99088 from Global Designs. Amount due: $1700 for logo and branding services.,invoice
"Bank statement for account 321654987. Current balance: $3300. Recent transactions: $400 withdrawal, $500 deposit.",bank statement
Invoice number 10101 from Development Partners. Amount due: $2100 for mobile app development services.,invoice
"Bank statement for account 666555444. Current balance: $6000. Recent transactions: $300 withdrawal, $2000 deposit.",bank statement
"LICENSE NUMBER: 09-58-6320 Date of Birth: 05/22/1987 Name: Anna Stewart Address: 1445 Maple Ave, Suite 3, Los Angeles, CA 90001",license
"LICENSE NUMBER: 123-45-6789 Issued: 12/05/2003 Expires: 12/05/2023 Name: John Doe Address: 123 Main St, Springfield, IL 62701 DOB: 01/15/1980",license
"LICENSE INFORMATION No: A98765432 Date of Birth: 09/21/1985 License Expiry: 05/10/2025 Issued to: Jane Smith Address: 456 Elm St, Chicago, IL 60605",license
"DRIVING LICENSE Number: L2345678901 Expires: 08/08/2024 Issued: 08/08/2015 Name: Mike Johnson Address: 789 Pine St, Madison, WI 53703 DOB: 02/11/1990",license
"LICENSE ID: D234567 Exp. Date: 10-10-2026 Issued on: 01-01-2016 Name: Sarah Lee Address: 101 Oak Ave, Atlanta, GA 30301 DOB: 03-22-1983",license
"LICENSE NUMBER: 01A23456789 Date: 12/12/2018 Expires: 12/12/2028 Holder: Alan Brown Address: 1000 Birch Rd, Seattle, WA 98101 DOB: 07/30/1982",license
"LICENSE No: P123456789 Expires: 11/10/2027 Issued: 11/10/2017 Holder Name: Emily White Address: 500 Maple Blvd, Austin, TX 73301 DOB: 05/18/1995",license
"DRIVER'S LICENSE Number: X012345678 Expiration: 05/20/2025 Issued on: 05/20/2015 Name: Christopher Davis Address: 123 Oakwood Dr, Los Angeles, CA 90001 DOB: 09/30/1992",license
"LICENSE DETAILS: ID: 1234567890 Expires: 04/22/2026 Date of Issue: 04/22/2016 Full Name: Natalie Green Residence: 888 Cedar Ln, New York, NY 10001 DOB: 02/14/1988",license
"Driving License No: P9876543 Expire Date: 09/15/2024 Issued: 09/15/2014 Holder: William Gray Location: 102 Willow Dr, San Francisco, CA 94102 DOB: 11/11/1980",license
"LICENSE NUMBER: D12345678 Expiration: 12/12/2027 Date of Issue: 12/12/2017 Name: Jessica Brown Residence: 333 Aspen St, Dallas, TX 75201 DOB: 04/18/1990",license
